"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause"
1,"Beira Litoral","Coimbra","Góis","Góis","40º9'14''","8º8'22''","agriculture",2014-01-11 00:00:00,23:30:00,2014-01-12 00:00:00,01:10:00,2014-01-11 00:00:00,23:45:00,NA,0,0,0.02,0,0.02,0
2,"Beira Interior","Guarda","Sabugal","Bismula","40º26'47''","6º57'55''","agric_burn",2014-01-24 00:00:00,19:10:00,2014-01-24 00:00:00,21:07:00,2014-01-24 00:00:00,19:10:00,NA,0,1,0,1,1,0
3,"Ribatejo e Oeste","Santarém","Almeirim","Benfica do Ribatejo","39º7'16''","8º39'19''","agriculture",2014-02-16 00:00:00,18:46:00,2014-02-16 00:00:00,19:49:00,2014-02-16 00:00:00,19:10:00,NA,0,0,0.0742,0,0.0742,0
4,"-","Bragança","Vila Flor","União das freguesias de Vila Flor e Nabo","41º23'59''","7º4'21''","firepit",2014-02-23 00:00:00,18:00:00,2014-02-23 00:00:00,18:30:00,2014-02-23 00:00:00,18:03:00,NA,0,0.006,0,0.006,0.006,0
5,"Algarve","Faro","São Brás de Alportel","São Brás de Alportel","37:09:19","07:50:33","firepit",2014-03-02 00:00:00,12:48:00,2014-03-02 00:00:00,14:58:00,2014-03-02 00:00:00,13:01:00,NA,0,0.03,0,0.03,0.03,0
6,"Ribatejo e Oeste","Santarém","Alpiarça","Alpiarça","39º11'30''","8º34'37''","firepit",2014-03-06 00:00:00,19:40:00,2014-03-06 00:00:00,20:39:00,2014-03-06 00:00:00,19:49:00,NA,0,0.0192,0,0.0192,0.0192,0
7,"Beira Interior","Guarda","Trancoso","Castanheira","40:49:36","07:21:50","agriculture",2014-03-06 00:00:00,19:44:00,2014-03-06 00:00:00,22:25:00,2014-03-06 00:00:00,19:55:00,NA,0,0,2,0,2,0
8,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Telões","41º28'3''","7º33'44''","fire",2014-03-07 00:00:00,12:00:00,2014-03-07 00:00:00,21:00:00,2014-03-07 00:00:00,17:00:00,NA,9,6,0,15,15,0
9,"Trás-os-Montes","Viseu","Sernancelhe","Granjal","40º53'15''","7º31'49''","firepit",2014-03-07 00:00:00,14:40:00,2014-03-07 00:00:00,16:18:00,2014-03-07 00:00:00,15:00:00,NA,0,0.02,0,0.02,0.02,0
10,"Algarve","Faro","Castro Marim","Odeleite","37:19:52","07:28:59","firepit",2014-03-07 00:00:00,17:15:00,2014-03-07 00:00:00,20:28:00,2014-03-07 00:00:00,17:30:00,NA,0,0.045,0,0.045,0.045,0
11,"Entre Douro e Minho","Viana do Castelo","Monção","Tangil","42º0'49''","8º28'19''","fire",2014-03-07 00:00:00,22:49:00,2014-03-08 00:00:00,01:30:00,2014-03-07 00:00:00,23:30:00,NA,1,1,0,2,2,0
12,"-","Castelo Branco","Covilhã","União das freguesias de Covilhã e Canhoso","40º16'5''","7º29'50''","agriculture",2014-03-08 00:00:00,11:52:00,2014-03-08 00:00:00,12:15:00,2014-03-08 00:00:00,12:00:00,NA,0,0,0.0025,0,0.0025,0
13,"-","Castelo Branco","Penamacor","União das freguesias de Pedrógão de São Pedro e Bemposta","40º16'37''","7º0'21''","agriculture",2014-03-08 00:00:00,13:15:00,2014-03-08 00:00:00,14:40:00,2014-03-08 00:00:00,13:47:00,NA,0,0,0.28,0,0.28,0
14,"-","Coimbra","Góis","União das freguesias de Cadafaz e Colmeal","40º8'28''","8º0'10''","firepit",2014-03-08 00:00:00,14:29:00,2014-03-08 00:00:00,17:33:00,2014-03-08 00:00:00,14:52:00,NA,0.42,0.08,0,0.5,0.5,0
15,"Ribatejo e Oeste","Santarém","Rio Maior","Arrouquelas","39º15'22''","8º53'39''","firepit",2014-03-08 00:00:00,14:36:00,2014-03-08 00:00:00,17:00:00,2014-03-08 00:00:00,14:55:00,NA,0,0.0916,0,0.0916,0.0916,0
16,"-","Aveiro","Castelo de Paiva","União das freguesias de Raiva, Pedorido e Paraíso","40º59'3''","8º19'9''","firepit",2014-03-08 00:00:00,14:41:00,2014-03-08 00:00:00,17:10:00,2014-03-08 00:00:00,15:10:00,NA,0,0.4273,0,0.4273,0.4273,0
17,"Beira Litoral","Coimbra","Oliveira do Hospital","Lourosa","40º19'17''","7º57'38''","firepit",2014-03-08 00:00:00,14:50:00,2014-03-08 00:00:00,15:50:00,2014-03-08 00:00:00,15:00:00,NA,0,0.001,0,0.001,0.001,0
18,"-","Coimbra","Tábua","União das freguesias de Espariz e Sinde","40º23'58''","7º58'4''","firepit",2014-03-08 00:00:00,15:13:00,2014-03-08 00:00:00,16:20:00,2014-03-08 00:00:00,15:20:00,NA,0,0.001,0,0.001,0.001,0
19,"Ribatejo e Oeste","Santarém","Rio Maior","São Sebastião","39º22'30''","8º53'24''","firepit",2014-03-08 00:00:00,15:34:00,2014-03-08 00:00:00,16:50:00,2014-03-08 00:00:00,15:41:00,NA,0,0.1673,0,0.1673,0.1673,0
20,"Beira Litoral","Viseu","Viseu","São João de Lourosa","40º36'51''","7º53'39''","firepit",2014-03-08 00:00:00,15:56:00,2014-03-08 00:00:00,17:00:00,2014-03-08 00:00:00,16:10:00,NA,0,0.06,0,0.06,0.06,0
21,"-","Beja","Odemira","São Teotónio","37:35:50","08:48:10","firepit",2014-03-08 00:00:00,16:46:00,2014-03-08 00:00:00,17:47:00,2014-03-08 00:00:00,17:25:00,NA,0,0.086,0,0.086,0.086,0
22,"Beira Interior","Guarda","Fornos de Algodres","Figueiró da Granja","40:37:35","07:29:53","agric_burn",2014-03-08 00:00:00,17:13:00,2014-03-08 00:00:00,19:45:00,2014-03-08 00:00:00,18:10:00,NA,0,1.5,0,1.5,1.5,0
23,"-","Lisboa","Torres Vedras","União das freguesias de Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães","39º6'32''","9º18'25''","fire",2014-03-08 00:00:00,17:35:00,2014-03-08 00:00:00,20:05:00,2014-03-08 00:00:00,17:44:00,NA,3,0,0,3,3,0
24,"-","Santarém","Torres Novas","União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel","39º25'2''","8º35'7''","agriculture",2014-03-08 00:00:00,19:13:00,2014-03-08 00:00:00,20:05:00,2014-03-08 00:00:00,19:30:00,NA,0,0,1e-04,0,1e-04,0
25,"-","Porto","Amarante","União das freguesias de Aboadela, Sanche e Várzea","41º17'40''","7º55'13''","fire",2014-03-08 00:00:00,20:15:00,2014-03-09 00:00:00,03:58:00,2014-03-08 00:00:00,20:30:00,NA,0,59.3,0,59.3,59.3,0
26,"Trás-os-Montes","Vila Real","Montalegre","Chã","41º47'31''","7º43'20''","fire",2014-03-08 00:00:00,20:53:00,2014-03-08 00:00:00,23:00:00,2014-03-08 00:00:00,21:15:00,NA,0,1,0,1,1,0
27,"-","Viana do Castelo","Valença","União das freguesias de Gandra e Taião","42º0'25''","8º37'1''","firepit",2014-03-08 00:00:00,21:14:00,2014-03-08 00:00:00,21:25:00,2014-03-08 00:00:00,21:15:00,NA,0,0.002,0,0.002,0.002,0
28,"Beira Interior","Guarda","Sabugal","Soito","40:19:20","06:54:40","fire",2014-03-08 00:00:00,21:26:00,2014-03-09 00:00:00,05:54:00,2014-03-08 00:00:00,21:32:00,NA,1,60,0,61,61,0
29,"-","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40º2'33''","8º25'10''","agriculture",2014-03-08 00:00:00,21:55:00,2014-03-08 00:00:00,22:25:00,2014-03-08 00:00:00,21:59:00,NA,0,0,0.001,0,0.001,0
30,"-","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40º3'31''","8º23'49''","agriculture",2014-03-09 00:00:00,00:35:00,2014-03-09 00:00:00,01:36:00,2014-03-09 00:00:00,00:40:00,NA,0,0,0.02,0,0.02,0
31,"-","Coimbra","Arganil","União das freguesias de Cerdeira e Moura da Serra","40º13'22''","7º53'31''","firepit",2014-03-09 00:00:00,02:38:00,2014-03-09 00:00:00,04:44:00,2014-03-09 00:00:00,03:25:00,NA,0,0.03,0,0.03,0.03,0
32,"Entre Douro e Minho","Viana do Castelo","Caminha","Dem","41º49'30''","8º45'36''","firepit",2014-03-09 00:00:00,11:57:00,2014-03-09 00:00:00,14:00:00,2014-03-09 00:00:00,12:23:00,NA,0,0.003,0,0.003,0.003,0
33,"-","Vila Real","Mondim de Basto","União das freguesias de Campanhó e Paradança","41º19'21''","7º55'56''","fire",2014-03-09 00:00:00,12:09:00,2014-03-09 00:00:00,15:50:00,2014-03-09 00:00:00,12:40:00,NA,0,8,0,8,8,0
34,"-","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40º1'34''","8º22'29''","agriculture",2014-03-09 00:00:00,13:41:00,2014-03-09 00:00:00,14:20:00,2014-03-09 00:00:00,13:42:00,NA,0,0,0.002,0,0.002,0
35,"Beira Interior","Guarda","Fornos de Algodres","Figueiró da Granja","40:37:25","07:29:33","firepit",2014-03-09 00:00:00,16:58:00,2014-03-09 00:00:00,18:15:00,2014-03-09 00:00:00,17:45:00,NA,0,0.5,0,0.5,0.5,0
36,"Entre Douro e Minho","Viseu","Cinfães","Nespereira","41º1'46''","8º8'26''","agric_burn",2014-03-09 00:00:00,19:50:00,2014-03-09 00:00:00,20:51:00,2014-03-09 00:00:00,20:06:00,NA,0,0.01,0,0.01,0.01,0
